H	col	frontier_in	frontier_out	wall_s	cpu_s	eff_cores	util_pct	rss_max_mb	map_wall_s	merge_wall_s	merge_frac	map_units	merge_ranges
11	19	17	6	0.01	0.0	0.00	0.0	25.8	0.00	0.00	0.000	-	-
11	20	6	0	0.00	0.0	0.00	0.0	25.8	0.00	0.00	-	-	-
12	0	1	2079	0.01	0.0	0.00	0.0	25.8	0.01	0.00	0.000	-	-
12	1	2079	23778	1.88	9.7	5.16	17.2	25.8	0.35	1.54	0.819	-	-
12	2	23778	36219	9.46	166.7	17.62	58.7	223.2	6.06	3.40	0.359	-	-
12	3	36219	39048	10.70	181.2	16.93	56.4	190.9	6.74	3.96	0.370	-	-
12	4	39048	39048	10.05	166.0	16.52	55.1	185.2	6.06	3.98	0.396	-	-
12	5	39048	39035	8.19	122.9	15.01	50.0	214.1	4.52	3.68	0.449	-	-
12	6	39035	38853	6.01	78.1	13.00	43.3	206.9	2.94	3.07	0.511	-	-
12	7	38853	37816	3.83	44.0	11.49	38.3	109.9	1.68	2.16	0.564	-	-
12	8	37816	35521	2.30	22.8	9.91	33.0	57.4	0.94	1.36	0.591	-	-
12	9	35521	29325	1.30	12.4	9.54	31.8	26.1	0.56	0.74	0.569	-	-
12	10	29325	16681	0.66	6.4	9.70	32.3	26.1	0.30	0.37	0.561	-	-
12	11	16681	7885	0.39	3.1	7.95	26.5	26.1	0.21	0.18	0.462	-	-
12	12	7885	3293	0.19	1.8	9.47	31.6	26.1	0.08	0.10	0.526	-	-
12	13	3293	1356	0.12	1.4	11.67	38.9	26.1	0.05	0.07	0.583	-	-
12	14	1356	560	0.09	0.9	10.00	33.3	26.1	0.04	0.05	0.556	-	-
12	15	560	239	0.08	1.1	13.75	45.8	26.1	0.03	0.05	0.625	-	-
12	16	239	109	0.07	0.8	11.43	38.1	26.1	0.03	0.04	0.571	-	-
12	17	109	48	0.05	0.2	4.00	13.3	26.1	0.03	0.02	0.400	-	-
12	18	48	18	0.02	0.1	5.00	16.7	26.1	0.01	0.01	0.500	-	-
12	19	18	6	0.01	0.0	0.00	0.0	26.1	0.01	0.00	0.000	-	-
12	20	6	0	0.00	0.0	0.00	0.0	26.1	0.00	0.00	-	-	-
13	0	1	4159	0.02	0.0	0.00	0.0	26.1	0.01	0.00	0.000	-	-
13	1	4159	57408	5.17	40.3	7.79	26.0	90.7	1.46	3.71	0.718	-	-
13	2	57408	94328	33.41	672.3	20.12	67.1	844.7	24.92	8.49	0.254	-	-
13	3	94328	102870	33.33	643.9	19.32	64.4	864.0	23.72	9.61	0.288	-	-
13	4	102870	102845	27.60	506.3	18.34	61.1	842.4	18.48	9.12	0.330	-	-
13	5	102845	102517	20.06	309.3	15.42	51.4	524.7	12.45	7.61	0.379	-	-
13	6	102517	99837	11.73	168.0	14.32	47.7	406.9	6.34	5.38	0.459	-	-
13	7	99837	92141	6.79	87.1	12.83	42.8	201.0	3.51	3.28	0.483	-	-
13	8	92141	74692	3.80	47.1	12.39	41.3	62.0	2.09	1.71	0.450	-	-
13	9	74692	41480	1.91	22.8	11.94	39.8	28.2	1.10	0.81	0.424	-	-
13	10	41480	19059	0.79	8.9	11.27	37.6	28.2	0.43	0.37	0.468	-	-
13	11	19059	8209	0.38	3.7	9.74	32.5	28.2	0.20	0.18	0.474	-	-
13	12	8209	3321	0.20	1.9	9.50	31.7	28.2	0.10	0.10	0.500	-	-
13	13	3321	1309	0.11	1.2	10.91	36.4	28.2	0.05	0.06	0.545	-	-
13	14	1309	531	0.08	0.9	11.25	37.5	28.2	0.03	0.05	0.625	-	-
13	15	531	229	0.08	0.9	11.25	37.5	28.2	0.03	0.05	0.625	-	-
13	16	229	104	0.06	0.7	11.67	38.9	28.2	0.03	0.04	0.667	-	-
13	17	104	48	0.04	0.3	7.50	25.0	28.2	0.03	0.01	0.250	-	-
13	18	48	19	0.02	0.1	5.00	16.7	28.2	0.01	0.01	0.500	-	-
13	19	19	7	0.01	0.0	0.00	0.0	28.2	0.01	0.00	0.000	-	-
13	20	7	0	0.00	0.0	0.00	0.0	28.2	0.00	0.00	-	-	-
14	0	1	8255	0.03	0.0	0.00	0.0	28.2	0.02	0.01	0.333	-	-
14	1	8255	138190	14.08	145.8	10.36	34.5	180.4	5.26	8.82	0.626	-	-
14	2	138190	242576	92.65	1941.8	20.96	69.9	827.2	72.22	20.44	0.221	-	-
14	3	242576	262748	82.19	1637.8	19.93	66.4	874.8	60.56	21.63	0.263	-	-
14	4	262748	262131	61.36	1144.0	18.64	62.1	851.2	42.25	19.11	0.311	-	-
14	5	262131	258029	37.87	644.3	17.01	56.7	824.1	24.36	13.52	0.357	-	-
14	6	258029	237898	20.82	349.9	16.81	56.0	482.8	12.92	7.89	0.379	-	-
14	7	237898	189388	11.62	188.8	16.25	54.2	199.7	7.45	4.17	0.359	-	-
14	8	189388	101810	5.55	91.0	16.40	54.7	53.2	3.74	1.81	0.326	-	-
14	9	101810	44730	2.39	32.5	13.60	45.3	28.2	1.61	0.78	0.326	-	-
14	10	44730	18683	0.87	11.8	13.56	45.2	28.2	0.52	0.35	0.402	-	-
14	11	18683	7706	0.43	4.5	10.47	34.9	28.2	0.25	0.17	0.395	-	-
14	12	7706	3118	0.23	2.1	9.13	30.4	28.2	0.13	0.10	0.435	-	-
14	13	3118	1235	0.13	1.5	11.54	38.5	28.2	0.06	0.07	0.538	-	-
14	14	1235	487	0.09	1.1	12.22	40.7	28.2	0.04	0.05	0.556	-	-
14	15	487	203	0.08	1.0	12.50	41.7	28.2	0.03	0.05	0.625	-	-
14	16	203	91	0.06	0.6	10.00	33.3	28.2	0.03	0.03	0.500	-	-
14	17	91	42	0.03	0.2	6.67	22.2	28.2	0.02	0.01	0.333	-	-
14	18	42	18	0.02	0.1	5.00	16.7	28.2	0.01	0.01	0.500	-	-
14	19	18	7	0.01	0.0	0.00	0.0	28.2	0.01	0.00	0.000	-	-
14	20	7	0	0.00	0.0	0.00	0.0	28.2	0.00	0.00	-	-	-
15	0	1	16511	0.05	0.0	0.00	0.0	28.2	0.04	0.01	0.200	-	-
15	1	16511	333623	35.50	418.5	11.79	39.3	356.6	15.36	20.14	0.567	-	-
15	2	333623	609270	220.73	4838.4	21.92	73.1	810.4	176.10	44.64	0.202	-	-
15	3	609270	644623	181.87	3694.7	20.32	67.7	873.6	139.41	42.46	0.233	-	-
15	4	644623	640868	125.76	2406.1	19.13	63.8	857.3	93.99	31.77	0.253	-	-
15	5	640868	603663	78.87	1408.2	17.85	59.5	825.7	60.16	18.70	0.237	-	-
15	6	603663	478772	41.69	781.7	18.75	62.5	431.9	32.14	9.55	0.229	-	-
15	7	478772	250874	20.04	379.8	18.95	63.2	101.9	15.93	4.10	0.205	-	-
15	8	250874	103885	7.00	129.5	18.50	61.7	28.7	5.33	1.67	0.239	-	-
15	9	103885	41707	2.67	43.3	16.22	54.1	28.2	1.95	0.73	0.273	-	-
15	10	41707	16847	1.06	14.9	14.06	46.9	28.2	0.73	0.33	0.311	-	-
15	11	16847	6876	0.44	5.4	12.27	40.9	28.2	0.29	0.16	0.364	-	-
15	12	6876	2794	0.23	2.4	10.43	34.8	28.2	0.13	0.10	0.435	-	-
15	13	2794	1128	0.13	1.4	10.77	35.9	28.2	0.06	0.07	0.538	-	-
15	14	1128	450	0.10	1.3	13.00	43.3	28.2	0.04	0.06	0.600	-	-
