orchestrate maxn=40 fold=true cores=80 unit_mult=8 merge_mult=1 ram=1073741824 counter=u128 kernel=kink max_diag_k=0 run_dir=runs/ns_a40/dalby rev=38956525
event=kink_round H=6 col=0 round=stage2 frontier_in=4 map_wall_s=0.005 map_cpu_s=0.000 merge_wall_s=0.002 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.42
event=kink_round H=9 col=0 round=stage5 frontier_in=32 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.001 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=7 col=0 round=stage4 frontier_in=16 map_wall_s=0.003 map_cpu_s=0.001 merge_wall_s=0.004 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.35 merge_eff_cores=0.23
event=kink_round H=8 col=0 round=stage4 frontier_in=16 map_wall_s=0.001 map_cpu_s=0.001 merge_wall_s=0.001 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.78 merge_eff_cores=0.88
event=kink_round H=16 col=0 round=stage6 frontier_in=64 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.001 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.81
event=kink_round H=11 col=0 round=stage4 frontier_in=16 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.004 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.24
event=kink_round H=5 col=0 round=finalize frontier_in=32 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.031 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=column H=5 col=0 frontier_in=1 frontier_out=19 wall_s=0.11 cum_wall_s=0.2 cpu_s=0.0 rss_max_mb=57.2 map_wall_s=0.06 map_cpu_s=0.0 merge_wall_s=0.04 merge_cpu_s=0.0 map_units=7 merge_ranges=6 eff_cores=0.05
event=kink_round H=15 col=0 round=stage4 frontier_in=16 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.032 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.00
event=kink_round H=14 col=0 round=stage5 frontier_in=32 map_wall_s=0.001 map_cpu_s=0.001 merge_wall_s=0.001 merge_cpu_s=0.000 map_units=1 merge_ranges=1 map_eff_cores=0.76 merge_eff_cores=0.00
event=kink_round H=19 col=0 round=stage4 frontier_in=16 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.035 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.03
event=kink_round H=4 col=1 round=stage0 frontier_in=9 map_wall_s=0.001 map_cpu_s=0.000 merge_wall_s=0.036 merge_cpu_s=0.001 map_units=1 merge_ranges=1 map_eff_cores=0.00 merge_eff_cores=0.03
