3,3,2,5	12552119	1677131	1103993	147629
3,3,3,2,2,2	1154655978	153445508	220269770	29276706
3,3,3,2,3	231554563	30753759	31436771	4177035
3,3,3,3,2	426394479	56526417	79017753	10478335
3,3,3,4	57457478	7607796	5994341	794475
3,3,4,2,2	286752005	37843779	54095070	7141028
3,3,4,3	89595724	11805378	11683358	1540652
3,3,5,2	52733624	6924664	9550360	1254602
3,3,6	3292782	431164	243794	31978
3,4,2,2,2,2	740988542	97727548	141590113	18676507
3,4,2,2,3	147663971	19463681	20166709	2659187
3,4,2,3,2	210084046	27657218	39202905	5162243
3,4,2,4	23248873	3057907	2470248	325172
3,4,3,2,2	346005210	45189392	65452084	8550466
3,4,3,3	89595724	11683358	11805378	1540652
3,4,4,2	98409743	12762357	17913582	2324170
3,4,5	9816145	1267631	837917	108387
3,5,2,2,2	141215546	18335598	26879723	3490817
3,5,2,3	28482238	3695092	3841898	498720
3,5,3,2	75623179	9738951	13898106	1790584
3,5,4	13710610	1756288	1391099	178457
3,6,2,2	22387389	2867955	4201076	538348
3,6,3	9347211	1190359	1190359	151749
3,7,2	2952995	374007	527439	66835
3,8	113400	14280	6585	833
4,2,2,2,2,2,2	1289104000	138646821	246723544	26537809
4,2,2,2,2,3	255896783	27515848	35096491	3774566
4,2,2,2,3,2	357941644	38462548	67035173	7204398
4,2,2,2,4	39430155	4235561	4235561	455161
4,2,2,3,2,2	368744903	39561443	70037667	7515293
4,2,2,3,3	93362834	10011011	12518156	1342875
4,2,2,4,2	70946184	7600870	13077363	1401439
4,2,2,5	5215831	558490	460701	49366
4,2,3,2,2,2	375488547	40094764	71682676	7655483
4,2,3,2,3	75101586	8015480	10213068	1090476
4,2,3,3,2	136160207	14512598	25273033	2694565
4,2,3,4	18223283	1941008	1917352	204412
4,2,4,2,2	75299601	8008194	14227521	1513549
4,2,4,3	23248873	2470248	3057907	325172
4,2,5,2	11628757	1233588	2116941	224664
4,2,6	630647	66809	47216	5009
